IUCR_Code,IUCR_cat,HOURLYTemp,ID-count
3,ROBBERY,75,540
3,ROBBERY,76,515
3,ROBBERY,77,522
3,ROBBERY,78,446
3,ROBBERY,79,375
3,ROBBERY,80,392
3,ROBBERY,81,309
3,ROBBERY,82,352
3,ROBBERY,83,235
3,ROBBERY,84,195
3,ROBBERY,85,181
3,ROBBERY,86,170
3,ROBBERY,87,118
3,ROBBERY,88,122
3,ROBBERY,89,74
3,ROBBERY,90,74
3,ROBBERY,91,33
3,ROBBERY,92,21
3,ROBBERY,93,8
3,ROBBERY,94,11
4,BATTERY,-12,3
4,BATTERY,-10,1
4,BATTERY,-9,5
4,BATTERY,-8,25
4,BATTERY,-7,61
4,BATTERY,-6,59
4,BATTERY,-5,50
4,BATTERY,-4,53
4,BATTERY,-3,78
4,BATTERY,-2,105
4,BATTERY,-1,146
4,BATTERY,0,205
4,BATTERY,1,263
4,BATTERY,2,299
4,BATTERY,3,272
4,BATTERY,4,411
4,BATTERY,5,266
4,BATTERY,6,285
4,BATTERY,7,356
4,BATTERY,8,268
4,BATTERY,9,281
4,BATTERY,10,332
4,BATTERY,11,430
4,BATTERY,12,379
4,BATTERY,13,505
4,BATTERY,14,528
4,BATTERY,15,549
4,BATTERY,16,594
4,BATTERY,17,691
4,BATTERY,18,746
4,BATTERY,19,1039
4,BATTERY,20,865
4,BATTERY,21,866
4,BATTERY,22,583
4,BATTERY,23,870
4,BATTERY,24,1055
4,BATTERY,25,1153
4,BATTERY,26,1297
4,BATTERY,27,1489
4,BATTERY,28,1533
4,BATTERY,29,1685
4,BATTERY,30,2147
4,BATTERY,31,2334
4,BATTERY,32,2565
4,BATTERY,33,2487
4,BATTERY,34,2593
4,BATTERY,35,2289
4,BATTERY,36,2352
4,BATTERY,37,2409
4,BATTERY,38,2559
4,BATTERY,39,2692
4,BATTERY,40,2628
4,BATTERY,41,2283
4,BATTERY,42,2255
4,BATTERY,43,2219
4,BATTERY,44,2315
4,BATTERY,45,2398
4,BATTERY,46,2454
4,BATTERY,47,2369
4,BATTERY,48,2407
4,BATTERY,49,2002
4,BATTERY,50,2640
4,BATTERY,51,1955
4,BATTERY,52,2133
4,BATTERY,53,2159
4,BATTERY,54,1970
4,BATTERY,55,2166
4,BATTERY,56,2253
4,BATTERY,57,2559
4,BATTERY,58,1964
4,BATTERY,59,2383
4,BATTERY,60,2725
4,BATTERY,61,2416
4,BATTERY,62,2469
4,BATTERY,63,2799
4,BATTERY,64,2732
4,BATTERY,65,3270
4,BATTERY,66,2976
4,BATTERY,67,3485
4,BATTERY,68,3627
4,BATTERY,69,3164
4,BATTERY,70,3685
4,BATTERY,71,3319
4,BATTERY,72,3320
4,BATTERY,73,3294
4,BATTERY,74,3226
4,BATTERY,75,2743
4,BATTERY,76,2664
4,BATTERY,77,2753
4,BATTERY,78,2360
4,BATTERY,79,2114
4,BATTERY,80,2204
4,BATTERY,81,1791
4,BATTERY,82,1794
4,BATTERY,83,1193
4,BATTERY,84,1095
4,BATTERY,85,1050
4,BATTERY,86,838
4,BATTERY,87,599
4,BATTERY,88,660
4,BATTERY,89,419
4,BATTERY,90,352
4,BATTERY,91,245
4,BATTERY,92,121
4,BATTERY,93,49
4,BATTERY,94,42
4,BATTERY,95,11
6,ASSAULT,-10,1
6,ASSAULT,-9,1
6,ASSAULT,-8,2
6,ASSAULT,-7,13
6,ASSAULT,-6,7
6,ASSAULT,-5,18
6,ASSAULT,-4,15
6,ASSAULT,-3,9
6,ASSAULT,-2,32
6,ASSAULT,-1,29
6,ASSAULT,0,56
6,ASSAULT,1,92
6,ASSAULT,2,91
6,ASSAULT,3,99
6,ASSAULT,4,146
6,ASSAULT,5,98
6,ASSAULT,6,97
6,ASSAULT,7,125
6,ASSAULT,8,93
6,ASSAULT,9,97
6,ASSAULT,10,150
6,ASSAULT,11,167
6,ASSAULT,12,136
6,ASSAULT,13,203
6,ASSAULT,14,203
6,ASSAULT,15,198
6,ASSAULT,16,187
6,ASSAULT,17,252
6,ASSAULT,18,260
6,ASSAULT,19,355
6,ASSAULT,20,275
6,ASSAULT,21,287
6,ASSAULT,22,210
6,ASSAULT,23,296
6,ASSAULT,24,373
6,ASSAULT,25,343
6,ASSAULT,26,410
6,ASSAULT,27,544
6,ASSAULT,28,468
6,ASSAULT,29,613
6,ASSAULT,30,736
6,ASSAULT,31,806
6,ASSAULT,32,919
6,ASSAULT,33,821
6,ASSAULT,34,916
6,ASSAULT,35,786
6,ASSAULT,36,825
6,ASSAULT,37,813
6,ASSAULT,38,894
6,ASSAULT,39,945
6,ASSAULT,40,974
6,ASSAULT,41,815
6,ASSAULT,42,704
6,ASSAULT,43,860
6,ASSAULT,44,864
6,ASSAULT,45,869
6,ASSAULT,46,830
6,ASSAULT,47,829
6,ASSAULT,48,859
6,ASSAULT,49,749
6,ASSAULT,50,986
6,ASSAULT,51,661
6,ASSAULT,52,757
6,ASSAULT,53,789
6,ASSAULT,54,722
6,ASSAULT,55,797
6,ASSAULT,56,819
6,ASSAULT,57,967
6,ASSAULT,58,724
6,ASSAULT,59,884
6,ASSAULT,60,933
6,ASSAULT,61,755
6,ASSAULT,62,901
6,ASSAULT,63,911
6,ASSAULT,64,921
6,ASSAULT,65,1162
6,ASSAULT,66,1023
6,ASSAULT,67,1149
6,ASSAULT,68,1225
6,ASSAULT,69,1154
6,ASSAULT,70,1334
6,ASSAULT,71,1176
6,ASSAULT,72,1148
6,ASSAULT,73,1175
6,ASSAULT,74,1183
6,ASSAULT,75,1044
6,ASSAULT,76,1038
6,ASSAULT,77,1091
6,ASSAULT,78,992
6,ASSAULT,79,938
6,ASSAULT,80,953
6,ASSAULT,81,821
6,ASSAULT,82,868
6,ASSAULT,83,539
6,ASSAULT,84,518
6,ASSAULT,85,489
6,ASSAULT,86,385
6,ASSAULT,87,311
6,ASSAULT,88,309
6,ASSAULT,89,212
6,ASSAULT,90,181
6,ASSAULT,91,86
6,ASSAULT,92,64
6,ASSAULT,93,25
6,ASSAULT,94,22
6,ASSAULT,95,3
7,STALKING,-7,1
7,STALKING,-2,2
7,STALKING,-1,1
7,STALKING,0,1
7,STALKING,1,1
7,STALKING,2,1
7,STALKING,3,2
7,STALKING,5,2
7,STALKING,9,1
7,STALKING,10,1
7,STALKING,11,3
7,STALKING,13,2
7,STALKING,14,4
7,STALKING,15,1
7,STALKING,16,1
7,STALKING,17,6
7,STALKING,18,1
7,STALKING,19,4
7,STALKING,20,3
7,STALKING,21,2
7,STALKING,22,1
7,STALKING,23,5
7,STALKING,24,1
7,STALKING,25,6
7,STALKING,26,2
7,STALKING,27,8
7,STALKING,28,3
7,STALKING,29,4
7,STALKING,30,6
7,STALKING,31,4
7,STALKING,32,10
7,STALKING,33,10
7,STALKING,34,9
7,STALKING,35,6
7,STALKING,36,7
7,STALKING,37,5
7,STALKING,38,13
7,STALKING,39,9
7,STALKING,40,11
7,STALKING,41,6
7,STALKING,42,11
7,STALKING,43,8
7,STALKING,44,8
7,STALKING,45,16
7,STALKING,46,3
7,STALKING,47,10
7,STALKING,48,8
7,STALKING,49,3
7,STALKING,50,19
7,STALKING,51,3
7,STALKING,52,6
7,STALKING,53,5
7,STALKING,54,2
7,STALKING,55,7
7,STALKING,56,5
7,STALKING,57,9
7,STALKING,58,5
7,STALKING,59,8
7,STALKING,60,5
7,STALKING,61,6
7,STALKING,62,10
7,STALKING,63,8
7,STALKING,64,7
7,STALKING,65,10
7,STALKING,66,16
7,STALKING,67,16
7,STALKING,68,10
7,STALKING,69,12
7,STALKING,70,13
7,STALKING,71,8
7,STALKING,72,7
7,STALKING,73,17
7,STALKING,74,13
7,STALKING,75,8
7,STALKING,76,8
7,STALKING,77,4
7,STALKING,78,9
7,STALKING,79,10
7,STALKING,80,6
7,STALKING,81,14
7,STALKING,82,7
7,STALKING,83,2
7,STALKING,84,1
7,STALKING,85,5
7,STALKING,86,5
7,STALKING,87,3
7,STALKING,89,3
7,STALKING,90,1
7,STALKING,91,2
7,STALKING,92,2
7,STALKING,93,1
8,BURGLARY,-10,5
8,BURGLARY,-9,2
8,BURGLARY,-8,3
8,BURGLARY,-7,9
8,BURGLARY,-6,14
8,BURGLARY,-5,4
8,BURGLARY,-4,10
8,BURGLARY,-3,18
8,BURGLARY,-2,34
8,BURGLARY,-1,39
8,BURGLARY,0,54
8,BURGLARY,1,69
8,BURGLARY,2,68
8,BURGLARY,3,88
8,BURGLARY,4,82
8,BURGLARY,5,105
8,BURGLARY,6,53
8,BURGLARY,7,99
8,BURGLARY,8,77
8,BURGLARY,9,79
8,BURGLARY,10,96
8,BURGLARY,11,99
8,BURGLARY,12,116
8,BURGLARY,13,133
8,BURGLARY,14,171
8,BURGLARY,15,118
8,BURGLARY,16,186
8,BURGLARY,17,197
8,BURGLARY,18,211
8,BURGLARY,19,277
8,BURGLARY,20,238
8,BURGLARY,21,211
8,BURGLARY,22,216
8,BURGLARY,23,207
8,BURGLARY,24,341
8,BURGLARY,25,322
8,BURGLARY,26,363
8,BURGLARY,27,439
8,BURGLARY,28,404
8,BURGLARY,29,486
8,BURGLARY,30,557
8,BURGLARY,31,625
8,BURGLARY,32,754
8,BURGLARY,33,621
8,BURGLARY,34,675
8,BURGLARY,35,617
8,BURGLARY,36,632
8,BURGLARY,37,689
8,BURGLARY,38,694
8,BURGLARY,39,680
8,BURGLARY,40,769
8,BURGLARY,41,631
8,BURGLARY,42,579
8,BURGLARY,43,680
8,BURGLARY,44,642
8,BURGLARY,45,611
8,BURGLARY,46,638
8,BURGLARY,47,603
8,BURGLARY,48,619
8,BURGLARY,49,549
