d_date,IUCR_Code,ID-count,Bin1-sum,Bin2-sum,Bin3-sum,Bin4-sum,Bin5-sum
1/15/2016,19,4,0,1,3,0,0
1/15/2016,20,37,0,35,2,0,0
1/15/2016,22,49,0,32,17,0,0
1/15/2017,1,2,0,2,0,0,0
1/15/2017,2,4,0,4,0,0,0
1/15/2017,3,43,0,43,0,0,0
1/15/2017,4,130,0,130,0,0,0
1/15/2017,6,34,0,34,0,0,0
1/15/2017,8,38,0,38,0,0,0
1/15/2017,9,149,0,149,0,0,0
1/15/2017,10,30,0,30,0,0,0
1/15/2017,13,41,0,41,0,0,0
1/15/2017,14,83,0,83,0,0,0
1/15/2017,15,17,0,17,0,0,0
1/15/2017,17,2,0,2,0,0,0
1/15/2017,19,5,0,5,0,0,0
1/15/2017,20,29,0,29,0,0,0
1/15/2017,22,48,0,48,0,0,0
1/15/2018,2,7,4,3,0,0,0
1/15/2018,3,21,18,3,0,0,0
1/15/2018,4,86,59,27,0,0,0
1/15/2018,6,35,29,6,0,0,0
1/15/2018,8,27,20,7,0,0,0
1/15/2018,9,118,84,34,0,0,0
1/15/2018,10,34,30,4,0,0,0
1/15/2018,13,40,29,11,0,0,0
1/15/2018,14,57,48,9,0,0,0
1/15/2018,15,12,9,3,0,0,0
1/15/2018,17,2,2,0,0,0,0
1/15/2018,19,6,4,2,0,0,0
1/15/2018,20,34,21,13,0,0,0
1/15/2018,22,38,29,9,0,0,0
1/16/2015,1,1,0,1,0,0,0
1/16/2015,2,2,0,2,0,0,0
1/16/2015,3,16,0,16,0,0,0
1/16/2015,4,125,0,125,0,0,0
1/16/2015,6,38,0,38,0,0,0
1/16/2015,8,34,0,34,0,0,0
1/16/2015,9,167,0,167,0,0,0
1/16/2015,10,27,0,27,0,0,0
1/16/2015,13,43,0,43,0,0,0
1/16/2015,14,95,0,95,0,0,0
1/16/2015,15,8,0,8,0,0,0
1/16/2015,16,7,0,7,0,0,0
1/16/2015,17,2,0,2,0,0,0
1/16/2015,18,2,0,2,0,0,0
1/16/2015,19,8,0,8,0,0,0
1/16/2015,20,78,0,78,0,0,0
